"long_name","name","slug","tid"
"Abilene Christian University","Abilene Christian","abilene-christian","355"
"Academy of Art University","Academy of Art","academy-of-art","357"
"Adams State University","Adams St.","adams-st","1"
"Adelphi University","Adelphi","adelphi","359"
"Adrian College","Adrian","adrian","361"
"Agnes Scott College","Agnes Scott","agnes-scott","363"
"Air Force Academy","Air Force","air-force","1997"
"University of Akron","Akron","akron","2013"
"University of Alabama-Huntsville","Alabama-Huntsville","ala-huntsville","2017"
"University of Alabama","Alabama","alabama","2019"
"Alabama A&M University","Alabama A&M","alabama-am","365"
"Alabama State University","Alabama St.","alabama-st","367"
"University of Alaska-Anchorage","Alas. Anchorage","alas-anchorage","2021"
"University of Alaska-Fairbanks","Alas. Fairbanks","alas-fairbanks","2023"
"University at Albany","Albany (NY)","albany-ny","2009"
"Albany State University ","Albany St. (GA)","albany-st-ga","369"
"Albertus Magnus College","Albertus Magnus","albertus-magnus","371"
"Albion College","Albion","albion","373"
"Albright College","Albright","albright","375"
"Alcorn State University","Alcorn St.","alcorn","377"
"Alderson-Broaddus University ","Alderson Broaddus","alderson-broaddus","379"
"Alfred University","Alfred","alfred","381"
"Alfred State College","Alfred State","alfred-st","27337"
"Allegheny College","Allegheny","allegheny","383"
"Alma College","Alma","alma","385"
"Alvernia University","Alvernia","alvernia","387"
"Alverno College","Alverno","alverno","389"
"Texas A&M-Corpus Christi","Texas-Am-Corpus ","am-corpus-chris","1933"
"American University","American","american","393"
"American International College","American Int'l","american-intl","391"
"American University of Puerto Rico","American (PR)","american-pr","395"
"Amherst College","Amherst","amherst","397"
"Anderson University (Ind.) ","Anderson (IN)","anderson-in","399"
"Anderson University (S.C.)","Anderson (SC)","anderson-sc","401"
"Angelo State University","Angelo St.","angelo-st","403"
"Anna Maria College","Anna Maria","anna-maria","405"
"Appalachian State University","Appalachian St.","appalachian-st","5"
"Arcadia University","Arcadia","arcadia","407"
"University of Arizona","Arizona","arizona","2025"
"Arizona State University","Arizona St.","arizona-st","409"
"University of Arkansas-Fort Smith","Ark. - Fort Smith","ark-fort-smith","2029"
"University of Arkansas-Monticello","Ark.-Monticello","ark-monticello","2033"
"University of Arkansas-Pine Bluff","Ark.-Pine Bluff","ark-pine-bluff","2035"
"University of Arkansas","Arkansas","arkansas","2027"
"Arkansas State University","Arkansas St.","arkansas-st","411"
"Arkansas Tech University","Arkansas Tech","arkansas-tech","413"
"Armstrong State University","Armstrong","armstrong","415"
"Army West Point","Army","army","2003"
"Ashland University","Ashland","ashland","417"
"Assumption College","Assumption","assumption","419"
"","Auburn-Montgomery","aub-montgomery","43815"
"Auburn University","Auburn","auburn","421"
"Augsburg University","Augsburg","augsburg","423"
"Augustana College (IL)","Augustana (IL)","augustana-il","427"
"Augustana University (SD)","Augustana (SD)","augustana-sd","429"
"Aurora University","Aurora","aurora","431"
"Austin College","Austin","austin","3"
"Austin Peay State University","Austin Peay","austin-peay","433"
"Averett University","Averett","averett","435"
"Azusa Pacific University","Azusa Pacific","azusa-pacific","27239"
"Babson College","Babson","babson","437"
"CSU Bakersfield","CSU Bakersfield","bakersfield","561"
"Baldwin Wallace University","Baldwin Wallace","baldwin-wallace","439"
"Ball State University","Ball St.","ball-st","441"
"Clarks Summit University","Clarks Summit University ","baptist-bible-pa","443"
"Bard College","Bard","bard","445"
"Barry University","Barry","barry","447"
"Barton College","Barton","barton","449"
"Baruch College","Baruch","baruch","451"
"Bates College","Bates","bates","453"
"Bay Path University","Bay Path","bay-path","455"
"Baylor University","Baylor","baylor","457"
"Becker College","Becker","becker","459"
"Bellarmine University","Bellarmine","bellarmine","461"
"Belmont University","Belmont","belmont","465"
"Belmont Abbey College","Belmont Abbey","belmont-abbey","463"
"Beloit College","Beloit","beloit","467"
"Bemidji State University","Bemidji St.","bemidji-st","469"
"Benedict College","Benedict","benedict","471"
"Benedictine University","Benedictine (IL)","benedictine-il","473"
"Bentley University","Bentley","bentley","475"
"Berry College","Berry","berry","477"
"Bethany Lutheran College","Bethany Lutheran","bethany-lutheran","481"
"Bethany College","Bethany (WV)","bethany-wv","479"
"Bethel University","Bethel (MN)","bethel-mn","483"
"Bethune-Cookman University","Bethune-Cookman","bethune-cookman","485"
"Binghamton University","Binghamton","binghamton","487"
"Birmingham-Southern College","Birmingham-So.","birmingham-so","489"
"Black Hills State University","Black Hills St.","black-hills-st","491"
"Blackburn College","Blackburn","blackburn","493"
"Bloomfield College","Bloomfield","bloomfield","495"
"Bloomsburg University","Bloomsburg","bloomsburg","497"
"Bluefield State College","Bluefield St.","bluefield-st","499"
"Bluffton University","Bluffton","bluffton","501"
"Boise State University","Boise St.","boise-st","503"
"Boston College","Boston College","boston-college","505"
"Boston University","Boston U.","boston-u","507"
"Bowdoin College","Bowdoin","bowdoin","509"
"Bowie State University","Bowie St.","bowie-st","511"
"Bowling Green State University","Bowling Green","bowling-green","513"
"Bradley University","Bradley","bradley","515"
"Brandeis University","Brandeis","brandeis","517"
"Brevard College","Brevard","brevard","519"
"University of Bridgeport","Bridgeport","bridgeport","2037"
"Bridgewater State University","Bridgewater St.","bridgewater-st","523"
"Bridgewater College","Bridgewater (VA)","bridgewater-va","521"
"College at Brockport","Brockport","brockport","687"
"Brooklyn College","Brooklyn","brooklyn","21"
"Brown University","Brown","brown","529"
"Bryant University","Bryant","bryant","531"
"Bryn Athyn College","Bryn Athyn","bryn-athyn","27341"
"Bryn Mawr College","Bryn Mawr","bryn-mawr","533"
"Bucknell University","Bucknell","bucknell","535"
"Buena Vista University","Buena Vista","buena-vista","537"
"University at Buffalo","Buffalo","buffalo","2011"
